id,name,url,normal_pirce,promo_price,brand
84726,"RURRI Домик для грызунов Мышка, 12х10х7,5 см",https://4lapy.ru//product/rurri-domik-dlya-melkih-zhivotnyh-myshka-84726-1060308/,349,,rurri
12531,Монморанси Гамак для хомяков и мышей 18х18 см,https://4lapy.ru//product/monmoransi-gamak-dlya-homyakov-i-myshej-18h18-sm-12531-1015918/,569,,ip-tarasova-n-v
12592,Petmax Тоннель круглый для мелких грызунов,https://4lapy.ru//product/petmax-tonnel-kruglyj-dlya-melkih-gryzunov-12592-1053062/,329,,petmax
12528,"Ferplast Домик большой для кроликов SIN 4647, 37x27,7x20 см",https://4lapy.ru//product/ferplast-domik-bolshoj-dlya-krolikov-sin-4647-37x27-7x20-sm-12528-1048610/,1339,,ferplast
12520,"Ferplast Дом деревянный для хомяков Sin 4643, 14,5x9,5x8,5 см",https://4lapy.ru//product/ferplast-dom-derevyannyj-dlya-homyakov-sin-4643-14-5x9-5x8-5-sm-12520-1004836/,415,,ferplast
12470,Triol Домик Natural для мелких животных из кокоса Норка 100-130мм,https://4lapy.ru//product/triol-domik-natural-dlya-melkih-zhivotnyh-iz-kokosa-norka-100-130mm-12470-1054867/,599,,triol
12502,"Trixie Лежак-гамак подвесной для мелких животных, 30х8х25 см",https://4lapy.ru//product/trixie-lezhak-gamak-podvesnoj-dlya-melkih-zhivotnyh-30h8h25-sm-12502-1044108/,1235,,trixie
12514,"Trixie Домик для хомяков, кокос, ф 13х56 см",https://4lapy.ru//product/trixie-domik-dlya-homyakov-kokos-f-13h56-sm-12514-1051173/,1055,,trixie
12647,Zoobaloo Тоннель для грызунов из орешника на цепочке малый,https://4lapy.ru//product/zoobaloo-tonnel-dlya-gryzunov-iz-oreshnika-na-tsepochke-malyj-12647-1054355/,445,378,zoobalu
13059,Vitakraft Переноска для морских свинок и кроликов картон,https://4lapy.ru//product/vitakraft-perenoska-dlya-morskih-svinok-i-krolikov-13059-1014262/,139,,vitakraft
12603,RURRI Подстилка двусторонняя для грызунов Клевер 37 см,https://4lapy.ru//product/rurri-podstilka-dvustoronnyaya-dlya-gryzunov-klever-37-sm-12603-1054679/,749,,rurri
12465,Triol Домик для мелких грызунов Фитнес 12*12*12 см,https://4lapy.ru//product/triol-domik-dlya-melkih-gryzunov-fitnes-12-12-12-sm-12465-1038178/,687,,triol
12678,"Ferplast Труба-туннель длинная для хомяков Tube, 21x6 см",https://4lapy.ru//product/ferplast-truba-tunnel-dlinnaya-dlya-homyakov-tube-21x6-sm-12678-1019508/,535,454,ferplast
12488,Savic Дом для хомяка HAMSTER IGLO,https://4lapy.ru//product/savic-dom-dlya-gryzunov-hamster-iglo-12488-1000171/,445,,savic
90238,"GAMMA Туннель на липучке из войлока для мелких животных Клевер, 15x8 см",https://4lapy.ru//product/gamma-tunnel-dlya-melkih-zhivotnyh-na-lipuchke-iz-vojloka-klever-s-150-80mm-90238-1063356/,419,,gamma
12645,Zoobaloo Тоннель для грызунов Треугольник 7х8х10 см,https://4lapy.ru//product/zoobaloo-tonnel-dlya-gryzunov-treugolnik-7h8h10-sm-12645-1018160/,357,303,zoobalu
12670,"Ferplast Муфта для труб для хомяков Tube, 6 см",https://4lapy.ru//product/ferplast-mufta-dlya-trub-dlya-homyakov-tube-6-sm-12670-1012342/,319,271,ferplast
12601,"Petmax Домик с дверцей для мелких грызунов, 18х12х9 см",https://4lapy.ru//product/petmax-domik-s-dvertsej-d-melkih-gryzunov-18-12-9sm-12601-1058699/,199,,petmax
12472,"Triol Домик из луговых трав для грызунов Хижина, 130x110x110 мм",https://4lapy.ru//product/triol-domik-iz-lugovyh-trav-dlya-gryzunov-hizhina-130x110x110-mm-12472-1058521/,483,,triol
12525,"Ferplast Мост для хомяков Bridge PA 4640, 7x8,5x17 см",https://4lapy.ru//product/ferplast-most-dlya-homyakov-bridge-pa-4640-7x8-5x17-sm-12525-1018130/,849,,ferplast
12672,"Ferplast Труба-поворот для хомяков Tube, 6 см, голубой",https://4lapy.ru//product/ferplast-truba-povorot-dlya-homyakov-tube-6-sm-goluboj-12672-1013876/,417,354,ferplast
12674,"Ferplast Труба-туннель короткая для хомяков Tube, 6x11 см",https://4lapy.ru//product/ferplast-truba-tunnel-korotkaya-dlya-homyakov-tube-6x11-sm-12674-1013878/,327,277,ferplast
12679,"Ferplast Труба-туннель т-образный для хомяков FPI 4815, 14x10x6 см",https://4lapy.ru//product/ferplast-truba-tunnel-t-obraznyj-dlya-homyakov-fpi-4815-14x10x6-sm-12679-1019509/,517,439,ferplast
12680,"Ferplast Труба телескопическая для хомяков FPI 4816, 12,5-20,2x6 см",https://4lapy.ru//product/ferplast-truba-teleskopicheskaya-dlya-homyakov-fpi-4816-12-5-20-2x6-sm-12680-1044332/,595,505,ferplast
37175,Savic Дом для морской свинки  RODY IGLO,https://4lapy.ru//product/savic-savik-domik-d-gryzunov-rodi-iglo-37175-1000170/,939,,savic
86544,"PetStandArt Вигвам для грызунов Wigwam white, 11х13 см",https://4lapy.ru//product/petstandart-vigvam-dlya-gryzunov-wigwam-white-11h13sm-86544-1061091/,529,449,petstandart
90468,"GAMMA Домик из войлока для мелких животных Арбуз, 14x12x12 см",https://4lapy.ru//product/gamma-domik-dlya-melkih-zhivotnyh-iz-vojloka-arbuz-140-120-120mm-90468-1063442/,515,,gamma
12586,Petmax Гамак для грызунов 3-этажный,https://4lapy.ru//product/petmax-gamak-dlya-gryzunov-3-etazhnyj-12586-1049570/,635,,petmax
12585,"Petmax Гамак для грызунов 2-этажный, цвет в ассортименте",https://4lapy.ru//product/petmax-gamak-dlya-gryzunov-2-etazhnyj-12585-1049569/,609,,petmax
3471,"ПРЕСТИЖ Сказочный Домик для шиншилл и кроликов, 16х12х12см",https://4lapy.ru//product/prestizh-skazochnyj-domik-dlya-shinshill-i-krolikov-16h12h12sm-3471-1035550/,707,,prestizh
12552,Монморанси Домик для грызунов Тыква 18х22 см,https://4lapy.ru//product/monmoransi-domik-dlya-gryzunov-tykva-18h22-sm-12552-1044961/,1155,,ip-tarasova-n-v
12590,Petmax Гамак-кармашек для грызунов,https://4lapy.ru//product/petmax-gamak-karmashek-dlya-gryzunov-12590-1049574/,495,,petmax
12587,Petmax Домик-мешок для грызунов,https://4lapy.ru//product/petmax-domik-meshok-dlya-gryzunov-12587-1049571/,429,,petmax
12593,Petmax Гамак для грызунов 25*25см,https://4lapy.ru//product/petmax-gamak-dlya-gryzunov-25-25sm-12593-1053063/,269,,petmax
12490,Savic Дом для грызунов SPYTNIK XL пластик,https://4lapy.ru//product/savic-dom-dlya-gryzunov-spytnik-xl-plastik-12490-1029314/,1057,,savic
3470,"ПРЕСТИЖ Сказочный Домик для морских свинок, 16х12х12см",https://4lapy.ru//product/prestizh-skazochnyj-domik-dlya-morskih-svinok-16h12h12sm-3470-1035548/,547,,prestizh
90240,"GAMMA Домик для мелких животных Ежевика, 19x19x20 см",https://4lapy.ru//product/gamma-domik-dlya-melkih-zhivotnyh-ezhevika-190-190-200mm-90240-1063358/,759,,gamma
12562,"Дорадо Вуд Дом для грызунов, 14х14х25см",https://4lapy.ru//product/dorado-vud-dom-dlya-gryzunov-14h14h25sm-12562-1035372/,649,,dorado-vud
12596,Petmax Дом для грызунов цветной сборный,https://4lapy.ru//product/petmax-dom-dlya-gryzunov-tsvetnoj-sbornyj-12596-1053998/,669,,petmax
12583,Petmax Дом для грызунов 35x20x15см,https://4lapy.ru//product/petmax-dom-dlya-gryzunov-35x20x15sm-12583-1049567/,625,,petmax
84728,"RURRI Домик-вигвам для грызунов, 17х17х20 см",https://4lapy.ru//product/rurri-domik-vigvam-dlya-melkih-zhivotnyh-84728-1060312/,529,,rurri
12594,Petmax Тоннель подвесной текстиль,https://4lapy.ru//product/petmax-tonnel-podvesnoj-tekstil-12594-1053064/,505,,petmax
13068,"Moderna Переноска для грызунов мелких размеров Hipster Small, синий",https://4lapy.ru//product/moderna-perenoska-dlya-melkih-gryzunov-hipster-small-tsvet-sinij-13068-1032441/,1139,,moderna
12588,Petmax Домик подвесной для грызунов,https://4lapy.ru//product/petmax-domik-podvesnoj-dlya-gryzunov-12588-1049572/,675,,petmax
13073,Triol Переноска для мелких животных 240*160*170мм,https://4lapy.ru//product/triol-perenoska-dlya-melkih-zhivotnyh-240-160-170mm-13073-1054865/,715,,triol
12600,"Petmax Домик из керамики для грызунов Цыпленок, 10,5х9 см",https://4lapy.ru//product/petmax-domik-dlya-gryzunov-tsyplenok-10-5-9sm-keramika-12600-1056635/,339,288,petmax
12589,Petmax Лежак для грызунов 22см,https://4lapy.ru//product/petmax-lezhak-dlya-gryzunov-22sm-12589-1049573/,667,,petmax
12582,Petmax Дом для грызунов 17x13x17см,https://4lapy.ru//product/petmax-dom-dlya-gryzunov-17x13x17sm-12582-1049566/,425,,petmax
90239,"Triol Туннель Зверята для мелких животных Little Town, 30 см, диаметр 14 см",https://4lapy.ru//product/triol-tunnel-dlya-melkih-zhivotnyh-zveryata-m-d140-300mm-little-town-90239-1063357/,399,,triol
13072,Triol Переноска для мелких животных 185*118*135мм,https://4lapy.ru//product/triol-perenoska-dlya-melkih-zhivotnyh-185-118-135mm-13072-1054864/,517,,triol
84727,"RURRI Лежанка-мешочек для грызунов Ушастик, 24х22х4 см, розовая",https://4lapy.ru//product/rurri-lezhanka-meshochek-ushastik-rozovaya-84727-1060310/,489,,rurri
12569,"Дорадо Вуд Дом средний для грызунов, 27x16x16,5 см",https://4lapy.ru//product/dorado-vud-dom-srednij-dlya-gryzunov-27x16x16-5-sm-12569-1058033/,649,,dorado-vud
4036,"Padovan Hemp Mat Коврик из пенькового волокна большой для птиц и грызунов, 50х115 см",https://4lapy.ru//product/padovan-hemp-mat-kovrik-iz-penkovogo-volokna-bolshoj-dlya-ptits-i-gryzunov-50h115-sm-4036-1037903/,1865,,padovan
12516,"Ferplast Гамак для грызунов Sin 4890, 30x30 см",https://4lapy.ru//product/ferplast-gamak-dlya-gryzunov-sin-4890-30x30-sm-12516-1002257/,875,,ferplast
12534,Монморанси Подстилка для хомяков 16х15 см,https://4lapy.ru//product/monmoransi-podstilka-dlya-homyakov-16h15-sm-12534-1015921/,463,,ip-tarasova-n-v
12597,Petmax Тоннель для грызунов средний,https://4lapy.ru//product/petmax-tonnel-dlya-gryzunov-srednij-12597-1053999/,565,,petmax
12563,"Дорадо Вуд Дом с терасой для грызунов, 19х27х22см",https://4lapy.ru//product/dorado-vud-dom-s-terasoj-dlya-gryzunov-19h27h22sm-12563-1035373/,1749,,dorado-vud
12581,Petmax Дом для грызунов 14x13x14см,https://4lapy.ru//product/petmax-dom-dlya-gryzunov-14x13x14sm-12581-1049565/,299,,petmax
12571,"Дорадо Вуд Дом-шалаш средний для грызунов, 31x21x19 см",https://4lapy.ru//product/dorado-vud-dom-shalash-srednij-dlya-gryzunov-31x21x19-sm-12571-1058035/,685,,dorado-vud
12591,Petmax Тоннель для мелких грызунов,https://4lapy.ru//product/petmax-tonnel-dlya-melkih-gryzunov-12591-1053061/,329,,petmax
3472,"ПРЕСТИЖ Сказочный Домик Veggie Mix для хомяков и крыс, 15х7х7см",https://4lapy.ru//product/prestizh-skazochnyj-domik-veggie-mix-dlya-homyakov-i-krys-15h7h7sm-3472-1035551/,421,,prestizh
90237,"GAMMA Лежанка-кроватка из войлока для мелких животных, 140x100x40 мм",https://4lapy.ru//product/gamma-lezhanka-dlya-melkih-zhivotnyh-iz-vojloka-krovatka-s-140-100-40mm-90237-1063355/,539,,gamma
12466,Triol Домик для мелких грызунов 24*10*10 см,https://4lapy.ru//product/triol-domik-dlya-melkih-gryzunov-24-10-10-sm-12466-1038179/,935,,triol
12570,"Дорадо Вуд Дом малый для грызунов, 17x13x10 см",https://4lapy.ru//product/dorado-vud-dom-malyj-dlya-gryzunov-17x13x10-sm-12570-1058034/,449,,dorado-vud
12598,Petmax Домик-вигвам,https://4lapy.ru//product/petmax-domik-vigvam-12598-1054001/,829,,petmax
12595,Petmax Домик Капля для грызунов,https://4lapy.ru//product/petmax-domik-kaplya-dlya-gryzunov-12595-1053065/,749,,petmax
12473,"Triol Домик керамический для грызунов Пенек, 125x100x85 мм, бежевый",https://4lapy.ru//product/triol-domik-keramicheskij-dlya-gryzunov-penek-125x100x85-mm-bezhevyj-12473-1058525/,315,,triol
